Model,Parameters,Precision,Recall,F1-Score,Top-1 Accuracy,Top-2 Accuracy,Top-3 Accuracy
shufflenet_v2_x1_0,"1,274,104",0.7313,0.5885,0.6311,0.7866,0.9032,0.9522
squeezenet1_1,"732,756",0.7145,0.5899,0.6274,0.7680,0.8865,0.9373
vgg19,"139,652,180",0.6343,0.5274,0.5172,0.7798,0.8648,0.9076
swin_v2_b,"86,926,348",0.8755,0.8249,0.8429,0.8865,0.9671,0.9876
regnet_x_32gf,"105,340,980",0.8772,0.7931,0.8213,0.8660,0.9522,0.9770
inception_v3,"21,826,548",0.6968,0.5505,0.5974,0.7636,0.8797,0.9305
mobilenet_v2,"2,249,492",0.7726,0.6287,0.6711,0.8009,0.9150,0.9566
resnet50,"23,549,012",0.7974,0.7064,0.7366,0.8269,0.9287,0.9646
densenet121,"6,974,356",0.8157,0.6964,0.7396,0.8275,0.9256,0.9708
efficientnet_b0,"4,033,168",0.6907,0.6298,0.6406,0.8164,0.9194,0.9541
vit_b_16,"85,814,036",0.8716,0.7589,0.7889,0.8734,0.9603,0.9845
convnext,"87,586,964",0.9140,0.8732,0.8892,0.9069,0.9758,0.9882
maxvit,"30,417,864",0.8554,0.8030,0.8181,0.8623,0.9522,0.9845
